id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34999967,"Alquiler de 1 Habitación C/TV
Familia fumadora ",260778557,Susan Vivien,Fuencarral - El Pardo,Peñagrande,40.4843,-3.71997,Private room,40,2,2,2019-12-04,0.26,2,363
35000252,Reina Sofia Museum. Triangle of art. Lavapiés.,263685389,María,Centro,Embajadores,40.40766,-3.69653,Entire home/apt,60,2,52,2020-03-01,4.50,1,89
35000613,Luxury Boutique SOL/ATOCHA ST ✪ Modern & Netflix,32504655,Mónica,Centro,Embajadores,40.412,-3.69875,Entire home/apt,100,1,13,2019-10-14,1.16,1,0
35000672,Private room in Madrid Penthouse,49730449,Kevin,Retiro,Adelfas,40.40229,-3.67365,Private room,80,1,3,2019-11-03,0.43,1,254
35001357,Apartamento en el centro de Madrid,161871019,Pedro,Moncloa - Aravaca,Casa de Campo,40.42235,-3.7168,Entire home/apt,150,1,1,2019-06-05,0.09,2,0
35001524,Atic Room,35185535,Abraham,Villa de Vallecas,Casco Histórico de Vallecas,40.35736,-3.58602,Private room,250,1,0,,,2,90
35001964,Habitación final champions league Wanda metropolit,56321770,Cristina,San Blas - Canillejas,Rosas,40.42351,-3.60474,Private room,500,1,0,,,1,0
35002058,Cosie Room,35185535,Abraham,Villa de Vallecas,Casco Histórico de Vallecas,40.35963,-3.58468,Private room,250,1,0,,,2,90
35002177,Final Champions Wanda Stadium bedroom,263699107,David,San Blas - Canillejas,Arcos,40.42042,-3.61139,Private room,400,1,0,,,1,365
35002431,Habitación acogedora en barrio Malasaña,2014235,Andrea,Centro,Universidad,40.4264,-3.70675,Shared room,40,1,3,2019-12-08,0.26,1,89
35003038,Live the Champions in Madrid Center,14921829,Pilar,Arganzuela,Delicias,40.39632,-3.6957,Private room,299,2,0,,,4,90
35003359,"Acogedor,céntrico,turístico y tranquilo",263706186,Joana,Centro,Embajadores,40.40691,-3.70089,Entire home/apt,70,14,1,2020-02-14,0.33,1,318
35003550,ESTUDIO COLINDANTE CON LA PLAZA MAYOR,263663365,Maria,Centro,Embajadores,40.40991,-3.70072,Entire home/apt,60,3,44,2020-03-12,3.74,2,89
35003879,地铁五号线URGEL 双人大床房间,129188796,Chunmei,Carabanchel,San Isidro,40.39326,-3.72461,Private room,39,5,0,,,14,365
35003900,Cerca del estadio Wanda Metropolitano Champions,9888293,Carlos,San Blas - Canillejas,Simancas,40.43525,-3.62585,Entire home/apt,800,2,0,,,1,0
35003970,Nice flat in Chamberí,73614675,Taha,Chamberí,Arapiles,40.43559,-3.7054,Entire home/apt,400,2,1,2019-05-28,0.08,2,364
35004011,Bohardilla cerca wanda para final de champios,191769272,Patricia,San Blas - Canillejas,Rosas,40.42601,-3.60061,Private room,250,2,0,,,1,365
35004073,Habitación para la final de La Champions,131416122,Carlos,Arganzuela,Palos de Moguer,40.40138,-3.68865,Private room,397,1,0,,,1,89
35004218,Great room near to stadium. Spurs fans only!,31007143,Matthew,Ciudad Lineal,Pueblo Nuevo,40.43398,-3.64607,Private room,370,1,0,,,1,89
35004295,Champions league,169266284,Albanys,Puente de Vallecas,Palomeras Sureste,40.38134,-3.64846,Private room,250,3,0,,,2,87
35004614,Habitación con baño privado en Aeropuerto e IFEMA,263718385,Quintin Y Leonor,Hortaleza,Canillas,40.46502,-3.63283,Private room,38,2,43,2020-01-19,3.86,1,0
35004689,BNBHolder PALACE es MIA,28786243,Emilio,Centro,Universidad,40.42373,-3.70669,Entire home/apt,69,1,27,2020-03-08,2.48,68,200
35004708,*Lovely apartment in Vallecas*,38283306,Miguel,Puente de Vallecas,San Diego,40.38367,-3.66622,Entire home/apt,70,2,19,2020-04-19,2.91,1,15
35004741,Ponzano Street private Room  Central Area Madrid.,263046625,Raudy Moises,Chamberí,Rios Rosas,40.43965,-3.69832,Private room,40,2,16,2020-03-01,1.41,1,89
35005406,Habitación luminosa en Barrio Salamanca,174029056,Francisco,Salamanca,Recoletos,40.42633,-3.6808,Private room,100,1,0,,,1,0
35006157,Habitación La Latina,152185674,Felipe,Centro,Palacio,40.4111,-3.71249,Private room,270,2,0,,,1,179
35006725,Great flat for 5 Madrid center 35min Wanda Stadium,247409218,Sofia,Chamberí,Almagro,40.43672,-3.69803,Entire home/apt,800,3,0,,,1,88
35006870,AP. CON BALCON CERCA DE ATOCHA,241652103,Liliana,Retiro,Pacífico,40.40274,-3.6751,Entire home/apt,38,10,1,2019-06-02,0.09,20,303
35007267,Champions League Double Room 10 min from the Wanda,169266284,Albanys,Puente de Vallecas,Palomeras Sureste,40.38149,-3.65062,Private room,180,2,0,,,2,0
35007673,2 bedrooms 4-5 people champions near to wanda,250699072,Katherine,San Blas - Canillejas,Rosas,40.4236,-3.60317,Private room,520,1,0,,,1,0
35008277,Piso Final Champiosn League Espectacular =),162186315,Alejandro,Salamanca,Guindalera,40.43128,-3.66896,Entire home/apt,3500,1,0,,,1,365
35008578,APartamento  en La Latina,241652103,Liliana,Centro,Embajadores,40.40833,-3.70567,Entire home/apt,37,10,12,2019-12-14,1.03,20,364
35008926,B&B close to Champions Final Wanda & Airport,263748917,Alejandro,Barajas,Corralejos,40.46639,-3.59417,Private room,339,1,0,,,1,0
35009205,Atico Terraza 2 dormitorios  VISTAS PANORAMICAS,241652103,Liliana,Tetuán,Berruguete,40.4633,-3.70379,Entire home/apt,45,10,2,2020-01-03,0.17,20,364
