preco,dormitorios,area,vagas,bairro,tipo
277000,3,67.54,1,Tristeza, Apartamento
691000,3,95.04,1,JardimLindóia, Apartamento
1120000,3,112.97,2,MoinhosdeVento, Apartamento
299000,2,67.71,1,JardimBotânico, Apartamento
360000,1,42.48,1,JardimdoSalso, Apartamento
415000,1,56.0,1,Auxiliadora, Apartamento
909000,3,114.0,2,JardimdoSalso, Apartamento
400000,3,65.23,1,Humaitá, Apartamento
469000,3,153.0,1,Tristeza, Casa
699000,4,90.0,2,Tristeza, Apartamento
240000,3,65.0,2,AbertadosMorros, Casa
389000,3,66.51,1,SantoAntônio, Apartamento
400000,3,128.47,2,VilaNova, Casa
389000,3,114.84,1,JardimItu, Casa
2200000,3,159.0,3,MeninoDeus, Apartamento
430000,2,86.59,1,MeninoDeus, Apartamento
350000,2,64.73,2,JardimCarvalho, Apartamento
150000,1,33.99,0,Santana, Apartamento
880000,3,117.94,2,Floresta, Apartamento
248000,2,63.17,1,Sarandi, Apartamento
383150,2,112.0,1,Cristal, Cobertura
240000,2,58.15,1,Petrópolis, Apartamento
300000,2,53.12,2,Petrópolis, Apartamento
595000,2,87.33,2,PassodaAreia, Apartamento
319000,2,53.01,1,Azenha, Apartamento
1480181,3,127.82,2,SãoJoão, Apartamento
2432500,3,206.67,3,RioBranco, Apartamento
840000,2,86.0,2,RioBranco, Apartamento
899739,3,74.39,2,RioBranco, Apartamento
3863429,3,290.67,3,MontSerrat, Apartamento
974234,3,99.2,2,Petrópolis, Apartamento
813811,2,70.42,1,BoaVista, Apartamento
889630,3,74.39,2,RioBranco, Apartamento
551694,1,38.31,1,JardimEuropa, Loft
1142485,2,134.41,2,MontSerrat, Apartamento
1179557,3,74.39,2,RioBranco, Apartamento
894684,3,74.39,2,RioBranco, Apartamento
1859000,3,162.0,3,Petrópolis, Apartamento
704499,2,88.43,2,CristoRedentor, Apartamento
899739,3,80.59,2,RioBranco, Apartamento
2299999,3,230.43,2,MeninoDeus, Apartamento
984671,3,144.38,2,Higienópolis, Apartamento
1247965,3,105.91,2,MeninoDeus, Apartamento
4908942,3,317.43,4,Petrópolis, Apartamento
2490000,3,174.46,3,BelaVista, Apartamento
912970,0,82.48,2,Petrópolis, Sala
1397500,0,215.0,1,Partenon, Loja
9117117,4,509.38,6,BelaVista, Cobertura
503919,3,94.9,2,Ipanema, Apartamento
8892052,4,412.39,4,Auxiliadora, Cobertura
4004694,3,206.96,3,Auxiliadora, Apartamento
519000,2,71.51,2,JardimdoSalso, Apartamento
499000,2,74.0,2,MeninoDeus, Apartamento
949000,3,101.0,2,MeninoDeus, Apartamento
2136000,3,184.73,3,MoinhosdeVento, Apartamento
609039,2,75.33,1,MeninoDeus, Apartamento
3896258,3,251.08,3,MontSerrat, Apartamento
396296,2,60.37,1,Glória, Apartamento
264780,1,42.77,1,JardimBotânico, Apartamento
676000,1,60.78,1,MeninoDeus, Apartamento
479000,3,72.69,2,Camaquã, Apartamento
409870,1,48.22,1,MeninoDeus, Apartamento
370000,3,68.69,1,VilaIpiranga, Apartamento
795000,3,86.36,2,PassodaAreia, Apartamento
850000,4,221.33,5,Agronomia, Casa
850000,4,149.55,2,LombadoPinheiro, Casa
260000,2,52.18,1,JardimCarvalho, Apartamento
430000,0,36.39,0,Santana, Sala
699900,3,83.87,2,PassodaAreia, Apartamento
199000,1,28.3,0,CidadeBaixa, Apartamento
2517500,3,236.0,3,Petrópolis, Apartamento
405000,2,54.82,1,PassodaAreia, Apartamento
640000,3,74.64,2,PassodaAreia, Apartamento
450000,3,74.72,2,VilaJardim, Apartamento
540000,1,53.93,1,Petrópolis, Apartamento
445000,3,150.0,2,Hípica, Casa
1150000,3,293.89,2,MeninoDeus, Cobertura
229900,3,63.45,1,Hipica, Apartamento
1280000,3,125.55,2,MeninoDeus, Apartamento
1900000,4,387.0,5,JardimSãoPedro, Casa
525000,2,58.82,2,BoaVista, Apartamento
860000,3,89.0,2,MeninoDeus, Apartamento
3300000,3,255.11,4,TrêsFigueiras, Apartamento
1100000,2,207.35,2,MeninoDeus, Cobertura
799000,3,107.24,2,BelaVista, Apartamento
585000,3,100.0,2,MoinhosdeVento, Apartamento
378000,3,71.02,1,Cavalhada, Apartamento
340000,3,62.73,2,SãoSebastião, Apartamento
745000,3,100.7,1,MeninoDeus, Apartamento
270000,2,46.32,1,Cristal, Apartamento
480000,2,87.47,0,RioBranco, Apartamento
390000,3,140.25,2,Medianeira, Casa
505000,3,83.55,2,VilaIpiranga, Apartamento
339000,2,56.16,1,Camaquã, Apartamento
1430000,3,191.04,2,Agronomia, Casa
390000,3,65.0,1,VilaIpiranga, Apartamento
598000,2,74.25,1,CentroHistórico, Apartamento
650000,1,54.24,1,Petrópolis, Apartamento
300000,3,68.09,1,JardimCarvalho, Apartamento
220000,2,53.33,1,ProtásioAlves, Apartamento
285000,3,67.57,1,JardimCarvalho, Apartamento
1300000,3,191.04,2,Agronomia, Casa
650000,3,91.57,2,Tristeza, Apartamento
713500,2,62.0,2,CidadeBaixa, Apartamento
300000,2,65.29,1,SantoAntônio, Apartamento
270000,2,56.51,1,Partenon, Apartamento
350000,3,66.51,1,Partenon, Apartamento
636000,3,132.31,4,Sarandi, Casa
525000,3,69.7,2,PassodaAreia, Apartamento
1200000,3,134.61,2,PassodaAreia, Apartamento
575000,3,190.0,4,Nonoai, Casa
650000,1,68.5,2,Petrópolis, Apartamento
730000,3,81.64,2,PassodaAreia, Apartamento
759000,2,78.86,2,Petrópolis, Apartamento
1290000,2,138.8,2,ChácaradasPedras, Apartamento
590000,2,132.78,1,PassodaAreia, Cobertura
2600000,3,353.0,3,TrêsFigueiras, Casa
860000,3,106.0,2,Petrópolis, Apartamento
140000,2,38.44,1,JardimLeopoldina, Apartamento
495000,1,41.95,1,BoaVista, Apartamento
770000,4,220.0,2,PedraRedonda, Casa
530000,3,74.23,2,VilaIpiranga, Apartamento
611000,3,94.0,1,Teresópolis, Apartamento
560000,2,66.8,2,PassodaAreia, Apartamento
490000,3,80.21,2,JardimCarvalho, Apartamento
1100000,3,240.0,2,Sarandi, Casa
700000,3,197.49,2,Cristal, Casa
215000,2,46.64,1,Cavalhada, Apartamento
589000,3,87.82,2,JardimBotânico, Apartamento
240000,2,64.0,1,JardimBotânico, Apartamento
695000,3,248.0,8,Medianeira, Casa
1200000,3,139.64,2,MeninoDeus, Apartamento
650000,3,91.7,2,JardimBotânico, Apartamento
1276000,3,103.0,2,JardimEuropa, Apartamento
650000,3,79.8,2,PassodaAreia, Apartamento
650000,2,93.32,1,Auxiliadora, Apartamento
700000,3,250.0,6,JardimIsabel, Casa
1700000,3,188.52,3,BelaVista, Apartamento
680000,3,145.0,2,MárioQuintana, Casa
289000,3,86.04,1,JardimItu, Casa
791000,3,104.71,1,MeninoDeus, Apartamento
360000,3,71.48,2,Cavalhada, Apartamento
420000,3,84.0,1,JardimBotânico, Apartamento
580000,3,90.93,2,Tristeza, Apartamento
400000,2,50.95,1,Tristeza, Apartamento
295000,2,56.81,1,Cavalhada, Apartamento
480000,4,136.75,2,Cavalhada, Casa
670000,1,54.24,1,Petrópolis, Apartamento
340000,2,62.0,1,Sarandi, Apartamento
535000,2,70.33,1,JardimBotânico, Apartamento
450000,2,54.34,2,Tristeza, Apartamento
340000,2,65.48,1,Petrópolis, Apartamento
999999,3,96.33,2,Auxiliadora, Apartamento
490000,2,66.54,1,PassodaAreia, Apartamento
825000,1,64.0,2,PraiadeBelas, Apartamento
500000,3,178.28,2,JardimItu, Casa
350000,2,58.38,1,Cristal, Apartamento
795000,3,93.14,2,RioBranco, Apartamento
570000,3,89.27,1,Petrópolis, Apartamento
349800,2,50.15,1,JardimItu, Apartamento
960000,3,106.83,2,PassodaAreia, Apartamento
213000,2,75.9,1,CristoRedentor, Apartamento
880000,3,113.93,3,BoaVista, Apartamento
